Image name,0 mm,0.063 mm,0.125 mm ,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm ,8 mm,Description
A7,0,0,0,0,14.124531081346049,23.186138890108282,35.741676084504547,44.553574505021793,53.614504270369352,66.037441147633913,75.444866019050437,90.773949408737991,97.629329885080494,100,A7
A8,0,0,0,2.8379654002298622,12.604733729167563,26.996918358797984,37.030298131655314,46.450641961394474,52.949567191131756,66.617281816866949,75.095482642909758,90.318327628081335,97.417306975186278,100,A8
A9,0,0,0,1.9319200355144517,9.1838595161324577,20.640299019034359,29.184480111079921,37.79161118898606,44.008974445849063,57.238705638701333,66.434630990441178,85.382215476745543,96.030630391084884,100,A9
A10,0,0,0,1.9193575728469057,10.057442471238261,18.685208741056357,27.314412953850493,37.050726947238971,44.071276470854116,56.947913757323263,66.835227069013342,85.993350158112051,96.228038000634939,100,A10
A11,0,0,0,0,10.476913681338374,30.100519245345794,43.378330409149044,52.471264958552567,61.557459817652813,75.196839682558149,83.275058739437938,94.892741676725336,98.651265090009886,100,A11
B1,0,0,0,0,8.267595353745719,24.085246137056672,35.013867870220977,42.655881485416224,50.486689846488844,62.801373285873339,70.79973090233031,86.074393971994908,95.527532443133168,100,B1
B2,0,0,0,3.1203980554567892,10.873592432100679,25.781115681329808,36.190333495115127,43.551324064292125,50.271050489136002,62.718869883570079,69.957565568940339,85.264067105968095,95.139504554302064,100,B2
C1,0,0,0,0,9.0922710622416787,27.736658362275335,34.466645121484731,44.261249942330302,51.110280815739671,65.55921028121206,74.686039206066056,90.613413993682897,97.755079193425345,100,C1
C2,0,0,0,0,8.5119584607057561,17.313929176211261,30.104944431950983,39.466939684600099,46.106588379792242,62.649456686569323,71.644348665358777,89.524595165256486,97.466538806461841,100,C2
C3,0,0,0,0,10.10332012775163,23.844355936864361,33.771259586203158,41.031385111049836,48.693776416772735,63.029840811324718,72.449235285151076,89.496114320832035,97.56984842525786,100,C3
C4,0,0,0,2.840500032837582,10.333305217294537,25.448528154304896,33.57706591929059,43.368849561751802,50.24536735170372,63.837001763764363,73.198043725705887,89.951838291944256,97.596936555828677,100,C4
D1,0,0,0,2.636153469489571,13.143860133159606,26.776403861675107,36.355181235604888,46.626092115355704,53.760995522841903,68.487781518907497,77.239522594258148,91.896474492156074,97.86918218460778,100,D1
D4,0,0,0,3.0457585826818558,13.123131467032579,27.287118530870899,40.417196665638492,49.779826782534229,56.227027830809362,70.466216702982081,78.694408326025879,92.545894095061655,97.906604746683172,100,D4
D5,0,0,0,2.9884255441680381,12.906383976056034,27.100084510014497,37.035391786654962,46.514482963130291,54.693623052928125,68.052286126828491,76.586294770436467,91.066209103481071,97.483121096808986,100,D5
