Point ID,GNSS Position Solution.Start Time,Easting,Northing,Elevation,GNSS Position Solution.Antenna Height,Distance
T01 01,21-04-2023 13:47:05,115175.677,558049.46400000004,1.195,2.000,0
T01 02,21-04-2023 13:50:18,115177.97500000001,558048.446,1.136,2.000,2.5133897429818717
T01 03,21-04-2023 13:50:46,115180.761,558046.98400000005,0.989,2.000,5.6596955132127658
T01 04,21-04-2023 13:51:14,115183.75999999999,558045.39000000001,0.880,2.000,9.0559930561420643
T01 05,21-04-2023 13:51:32,115186.291,558044.15099999995,0.904,2.000,11.873985604067139
T01 06,21-04-2023 13:51:56,115187.743,558043.43099999998,1.064,2.000,13.494696559164817
T01 07,21-04-2023 13:52:21,115190.693,558041.701,1.043,2.000,16.914550357197474
T01 08,21-04-2023 13:52:45,115193.40399999999,558040.20999999996,0.983,2.000,20.008512541854959
T01 09,21-04-2023 13:53:45,115195.436,558039.02500000002,0.812,2.000,22.360798451323241
T01 10,21-04-2023 13:54:05,115197.428,558037.95499999996,0.590,2.000,24.621984865605135
T01 11,21-04-2023 13:54:44,115199.372,558036.78799999994,0.343,2.000,26.889367718157651
T01 12,21-04-2023 13:55:14,115201.317,558035.946,0.111,2.000,29.008799009773305
T02 01,21-04-2023 13:59:27,115275.251,558161.08299999998,1.284,2.000,0
T02 02,21-04-2023 13:59:50,115277.219,558160.19900000002,1.054,2.000,2.1574243903105459
T02 03,21-04-2023 14:00:09,115279.056,558159.299,0.911,2.000,4.2030463006449548
T02 04,21-04-2023 14:00:30,115280.864,558158.52099999995,0.753,2.000,6.1713318490584008
T02 05,21-04-2023 14:00:54,115282.891,558157.67299999995,0.550,2.000,8.3685648817621221
T02 06,21-04-2023 14:01:11,115284.734,558156.67700000003,0.340,2.000,10.463478961105093
T02 07,21-04-2023 14:01:35,115286.444,558156.05000000005,0.113,2.000,12.284805126292163
T02 08,21-04-2023 14:02:02,115288.08900000001,558155.32700000005,-0.120,2.000,14.081678521946602
T02 09,21-04-2023 14:02:33,115290.151,558154.44400000002,-0.262,2.000,16.324786410572635
T02 10,21-04-2023 14:02:49,115292.086,558153.56999999995,-0.244,2.000,18.448015319595743
T02 11,21-04-2023 14:03:07,115294.125,558152.73199999996,-0.236,2.000,20.652502788373653
T02 12,21-04-2023 14:03:33,115296.24400000001,558151.80599999998,-0.249,2.000,22.964998626204341
T03 01,21-04-2023 14:06:21,115348.62699999999,558262.86300000001,1.204,2.000,0
T03 02,21-04-2023 14:06:39,115350.124,558261.93299999996,1.025,2.000,1.7623589305542549
T03 03,21-04-2023 14:06:58,115351.55100000001,558261.027,0.798,2.000,3.4526739899310508
T03 04,21-04-2023 14:07:30,115353.10400000001,558260.03599999996,0.583,2.000,5.2949253300242853
T03 05,21-04-2023 14:07:45,115354.63800000001,558259.08999999997,0.397,2.000,7.0971661574366154
T03 06,21-04-2023 14:08:03,115356.14999999999,558258.24199999997,0.182,2.000,8.8307312701336347
T03 07,21-04-2023 14:08:21,115357.537,558257.32400000002,-0.051,2.000,10.494009058090089
T03 08,21-04-2023 14:08:54,115358.88400000001,558256.40700000001,-0.280,2.000,12.12351757296593
T04 01,21-04-2023 14:12:04,115412.128,558346.85600000003,1.488,2.000,0
T04 02,21-04-2023 14:12:21,115413.602,558345.86399999994,1.409,2.000,1.7767217002602931
T04 03,21-04-2023 14:12:39,115415.137,558345.04599999997,1.237,2.000,3.5160747408940702
T04 04,21-04-2023 14:13:02,115416.68700000001,558344.11600000004,1.081,2.000,5.3236698282650678
T04 05,21-04-2023 14:13:27,115418.14,558343.20400000003,0.948,2.000,7.0391735443797057
T04 06,21-04-2023 14:13:39,115419.753,558342.304,0.791,2.000,8.8862709971509517
T04 07,21-04-2023 14:13:58,115421.351,558341.41399999999,0.576,2.000,10.715397564674072
T04 08,21-04-2023 14:14:15,115422.841,558340.60900000005,0.415,2.000,12.408951520091687
T04 09,21-04-2023 14:14:31,115424.432,558339.84600000002,0.238,2.000,14.173448615599389
T04 10,21-04-2023 14:14:48,115425.91800000001,558339.08499999996,0.044,2.000,15.842974596259651
T04 11,21-04-2023 14:15:07,115427.473,558338.41700000002,-0.174,2.000,17.535383825703686
T04 12,21-04-2023 14:15:31,115428.70299999999,558337.79799999995,-0.371,2.000,18.912359134149533
T05 01,21-04-2023 14:17:47,115477.776,558429.92000000004,1.247,2.000,0
T05 02,21-04-2023 14:18:09,115479.111,558428.91099999996,1.165,2.000,1.6734114856110454
T05 03,21-04-2023 14:18:30,115480.476,558427.99100000004,1.050,2.000,3.3195053467980324
T05 04,21-04-2023 14:18:50,115481.754,558427.08900000004,0.932,2.000,4.8837585232429266
T05 05,21-04-2023 14:19:19,115483.318,558426.19099999999,0.798,2.000,6.6872274029510166
T05 06,21-04-2023 14:19:42,115484.64,558425.31400000001,0.639,2.000,8.2736740613554947
T05 07,21-04-2023 14:20:02,115486.16899999999,558424.31700000004,0.458,2.000,10.099009646921255
T05 08,21-04-2023 14:20:21,115487.72900000001,558423.39599999995,0.303,2.000,11.910594864404226
T05 09,21-04-2023 14:20:38,115489.246,558422.59699999995,0.090,2.000,13.625147284126617
T05 10,21-04-2023 14:21:03,115490.66099999999,558421.78500000003,-0.120,2.000,15.25657886401245
T05 11,21-04-2023 14:21:21,115492.092,558420.97499999998,-0.325,2.000,16.900920981737098
T06 01,21-04-2023 14:23:38,115543.734,558517.48800000001,1.368,2.000,0
T06 02,21-04-2023 14:23:54,115545.026,558516.49600000004,1.191,2.000,1.6289039259398737
T06 03,21-04-2023 14:24:14,115546.64,558515.40700000001,1.130,2.000,3.5759316607406948
T06 04,21-04-2023 14:24:38,115548.053,558514.34100000001,1.032,2.000,5.3459387228688229
T06 05,21-04-2023 14:24:56,115549.461,558513.17000000004,0.887,2.000,7.1772510937998293
T06 06,21-04-2023 14:25:12,115550.886,558512.00100000005,0.731,2.000,9.0203967744217461
T06 07,21-04-2023 14:25:30,115552.371,558510.93700000003,0.536,2.000,10.84723037385807
T06 08,21-04-2023 14:25:49,115553.726,558509.86199999996,0.376,2.000,12.576869064492369
T06 09,21-04-2023 14:26:06,115555.069,558508.75600000005,0.168,2.000,14.316663592540991
T06 10,21-04-2023 14:26:24,115556.469,558507.64300000004,-0.067,2.000,16.105173866487064
T06 11,21-04-2023 14:26:40,115557.84299999999,558506.58100000001,-0.309,2.000,17.841756717969432
T06 12,21-04-2023 14:27:00,115559.179,558505.62300000002,-0.491,2.000,19.485733603450804
T06 13,21-04-2023 14:27:16,115560.493,558504.62300000002,-0.647,2.000,21.136974349070904
T07 01,21-04-2023 14:29:37,115616.14599999999,558600.29000000004,1.226,2.000,0
T07 02,21-04-2023 14:29:50,115617.783,558598.88,1.056,2.000,2.1605251676617714
T07 03,21-04-2023 14:30:12,115619.41099999999,558597.47699999996,1.079,2.000,4.3096629017608796
T07 04,21-04-2023 14:30:38,115621.076,558596.16500000004,0.962,2.000,6.4294669020901747
T07 05,21-04-2023 14:30:57,115622.586,558594.91700000002,0.882,2.000,8.3884472491170783
T07 06,21-04-2023 14:31:14,115624.17200000001,558593.66000000003,0.788,2.000,10.412167832594537
T07 07,21-04-2023 14:31:34,115625.79399999999,558592.44799999997,0.578,2.000,12.436971032933419
T07 08,21-04-2023 14:31:58,115627.18799999999,558591.37100000004,0.377,2.000,14.198551289366321
T07 09,21-04-2023 14:32:16,115628.59299999999,558590.174,0.140,2.000,16.044312379025957
T07 10,21-04-2023 14:32:32,115630.24099999999,558589.02500000002,-0.128,2.000,18.053318352125043
T07 11,21-04-2023 14:32:51,115631.89,558587.72400000005,-0.389,2.000,20.153747355914021
T07 12,21-04-2023 14:33:08,115633.50599999999,558586.56799999997,-0.564,2.000,22.140652487055597
T08 01,21-04-2023 14:35:22,115693.183,558682.12300000002,1.230,2.000,0
T08 02,21-04-2023 14:35:34,115694.766,558680.66500000004,1.038,2.000,2.1521275519703238
T08 03,21-04-2023 14:35:52,115696.181,558679.228,0.963,2.000,4.1688560909861518
T08 04,21-04-2023 14:36:18,115697.755,558677.86600000004,1.061,2.000,6.2503267249198018
T08 05,21-04-2023 14:36:46,115699.40399999999,558676.43700000003,0.981,2.000,8.4323537641607871
T08 06,21-04-2023 14:37:05,115701.005,558674.66299999994,0.833,2.000,10.821972353048576
T08 07,21-04-2023 14:37:24,115702.29399999999,558673.13800000004,0.830,2.000,12.818756267168864
T08 08,21-04-2023 14:37:42,115703.68700000001,558671.64399999997,0.713,2.000,14.861422417136229
T08 09,21-04-2023 14:38:02,115705.17200000001,558670.24699999997,0.507,2.000,16.900253945240973
T08 10,21-04-2023 14:38:18,115706.511,558668.821,0.324,2.000,18.856371784205848
T08 11,21-04-2023 14:38:36,115707.901,558667.36399999994,0.070,2.000,20.870062177526798
T08 12,21-04-2023 14:38:54,115709.295,558666.005,-0.200,2.000,22.816884460076899
T08 13,21-04-2023 14:39:10,115710.637,558664.50899999996,-0.421,2.000,24.826605833834822
T08 14,21-04-2023 14:39:28,115712.185,558663.01399999997,-0.615,2.000,26.978658110144881
T09 01,21-04-2023 14:41:43,115774.439,558747.56299999997,1.185,2.000,0
T09 02,21-04-2023 14:42:02,115775.88400000001,558745.94299999997,1.027,2.000,2.1708120600376946
T09 03,21-04-2023 14:42:22,115777.145,558744.22199999995,0.881,2.000,4.304344811148817
T09 04,21-04-2023 14:42:36,115778.319,558742.69999999995,0.828,2.000,6.2265206615822022
T09 05,21-04-2023 14:42:58,115779.43700000001,558740.95299999998,0.844,2.000,8.3006308322129314
T09 06,21-04-2023 14:43:23,115780.64999999999,558739.55599999998,0.818,2.000,10.150760016882229
T09 07,21-04-2023 14:43:55,115781.709,558738.18000000005,0.818,2.000,11.887094374034701
T09 08,21-04-2023 14:44:13,115783.102,558736.58700000006,0.708,2.000,14.003246069913136
T09 09,21-04-2023 14:44:40,115784.32000000001,558735.05500000005,0.530,2.000,15.960424651453293
T09 10,21-04-2023 14:46:10,115785.65300000001,558733.44900000002,0.326,2.000,18.04755785278217
T09 11,21-04-2023 14:46:25,115786.98299999999,558731.73199999996,0.068,2.000,20.219420877970503
T09 12,21-04-2023 14:46:52,115788.302,558730.12300000002,-0.194,2.000,22.299959750428908
T09 13,21-04-2023 14:48:32,115789.474,558728.68200000003,-0.380,2.000,24.157394809856225
T09 14,21-04-2023 14:48:44,115791.01700000001,558726.78500000003,-0.600,2.000,26.602687839332489
T10 01,21-04-2023 14:51:27,115883.818,558817.86699999997,1.242,2.000,0
T10 02,21-04-2023 14:51:44,115885.02499999999,558816.08600000001,0.983,2.000,2.1514669413778291
T10 03,21-04-2023 14:52:00,115886.281,558814.13399999996,0.844,2.000,4.4726390591257594
T10 04,21-04-2023 14:52:20,115887.46799999999,558812.53700000001,0.782,2.000,6.4624576437762578
T10 05,21-04-2023 14:52:39,115888.735,558810.93299999996,0.743,2.000,8.5064989839108769
T10 06,21-04-2023 14:53:03,115890.109,558809.22600000002,0.770,2.000,10.697782854105068
T10 07,21-04-2023 14:53:18,115891.41099999999,558807.48499999999,0.723,2.000,12.871784924049495
T10 08,21-04-2023 14:53:34,115892.69899999999,558805.62,0.681,2.000,15.138317297514842
T10 09,21-04-2023 14:53:52,115894.251,558803.56999999995,0.459,2.000,17.709543464195598
T10 10,21-04-2023 14:54:10,115895.587,558801.90300000005,0.293,2.000,19.845845175015761
T10 11,21-04-2023 14:54:24,115896.751,558800.15399999998,0.078,2.000,21.946772827328211
T10 12,21-04-2023 14:54:42,115897.939,558798.45900000003,-0.136,2.000,24.016644562439744
T10 13,21-04-2023 14:55:10,115899.13499999999,558796.86899999995,-0.299,2.000,26.00624653274879
T10 14,21-04-2023 14:55:33,115900.273,558795.11100000003,-0.466,2.000,28.100430860766039
T10 15,21-04-2023 14:55:49,115901.618,558793.522,-0.615,2.000,30.1822440128329
T10 16,21-04-2023 14:56:21,115904.679,558789.30900000001,-0.773,2.000,35.389843267759787
T10 17,21-04-2023 14:56:37,115905.71799999999,558787.44900000002,-0.760,2.000,37.520364565453555
T10 18,21-04-2023 14:56:57,115906.326,558785.41200000001,-0.761,2.000,39.646166296578684
T10 19,21-04-2023 14:57:14,115907.162,558783.59999999998,-0.768,2.000,41.641721357236662
T10 20,21-04-2023 14:57:32,115908.514,558781.93000000005,-0.792,2.000,43.790396297693761
T10 21,21-04-2023 14:57:48,115909.908,558780.16399999999,-0.813,2.000,46.040283406021146
T11 01,21-04-2023 15:00:35,115993.405,558903.76199999999,1.221,2.000,0
T11 02,21-04-2023 15:00:49,115994.90300000001,558901.973,1.005,2.000,2.3333505951707991
T11 03,21-04-2023 15:01:03,115996.57000000001,558900.21999999997,0.893,2.000,4.7524202510707063
T11 04,21-04-2023 15:01:21,115998.107,558898.65599999996,0.833,2.000,6.945241493222106
T11 05,21-04-2023 15:01:35,115999.848,558896.95200000005,0.787,2.000,9.381364847996295
T11 06,21-04-2023 15:01:53,116001.413,558895.429,0.748,2.000,11.565112544078298
T11 07,21-04-2023 15:02:06,116003.033,558893.75800000003,0.807,2.000,13.892480370592761
T11 08,21-04-2023 15:02:22,116004.761,558892.24100000004,0.664,2.000,16.191887468082687
T11 09,21-04-2023 15:02:43,116006.36500000001,558890.78599999996,0.370,2.000,18.357491540908118
T11 10,21-04-2023 15:03:04,116007.96799999999,558889.26500000001,0.180,2.000,20.567253971534839
T11 11,21-04-2023 15:03:28,116009.54399999999,558887.80500000005,-0.042,2.000,22.715596588505921
T11 12,21-04-2023 15:03:45,116011.10400000001,558886.45299999998,-0.306,2.000,24.779937645655163
T11 13,21-04-2023 15:04:06,116012.61199999999,558885.04299999995,-0.510,2.000,26.844438553878007
T11 14,21-04-2023 15:04:26,116014.186,558883.50800000003,-0.718,2.000,29.043006496827971
T12 01,21-04-2023 15:08:38,116133.266,559009.58700000006,1.240,2.000,0
