x,y
115574.1019,558553.4892
116878.6125,559608.2657
116931.5991,559644.3254
115574.8019,558552.775
116428.473,559251.627
116824.305,559568.7708
116879.1139,559607.4005
116932.0964,559643.4578
115575.5018,558552.0608
116379.7235,559214.2707
116429.0709,559250.8255
116479.3858,559288.2492
116774.6356,559527.7227
116824.8612,559567.9397
116879.6152,559606.5353
116932.5938,559642.5902
115576.2018,558551.3466
116330.8009,559176.8521
116380.3029,559213.4556
116429.6689,559250.024
116479.9748,559287.4411
116724.2432,559485.0316
116775.1982,559526.8961
116825.4174,559567.1087
116880.1166,559605.6701
116933.0911,559641.7227
115576.9017,558550.6324
115669.4908,558657.3042
115719.7119,558704.0432
116331.3656,559176.0268
116380.8822,559212.6405
116430.2669,559249.2224
116480.5638,559286.6329
116529.5275,559323.2751
116724.8406,559484.2296
116775.7607,559526.0694
116825.9735,559566.2776
116880.618,559604.8048
116933.5884,559640.8551
117374.7349,560031.7538
115175.0958,558049.2943
115577.6017,558549.9182
115670.1809,558656.5804
115720.3952,558703.3131
116331.9303,559175.2014
116381.4615,559211.8254
116430.8649,559248.4209
116481.1527,559285.8248
116530.1479,559322.4908
116725.4379,559483.4276
116776.3234,559525.2426
116826.5297,559565.4465
116881.1193,559603.9396
116934.0857,559639.9875
117375.5005,560031.1105
115175.8741,558048.6664
115528.2037,558496.6448
115578.3016,558549.204
115670.8709,558655.8566
115721.0786,558702.583
116281.0835,559136.3897
116332.495,559174.3761
116382.0409,559211.0103
116431.4628,559247.6194
116481.7417,559285.0166
116530.7682,559321.7065
116726.0353,559482.6256
116776.886,559524.4159
116827.0858,559564.6154
116881.6207,559603.0744
116934.583,559639.12
116984.5269,559680.9427
117376.2661,560030.4672
115176.6523,558048.0384
115528.9068,558495.9337
115579.0016,558548.4898
115620.4088,558605.6519
115671.5609,558655.1329
115721.7619,558701.8529
115831.1328,558783.9284
116281.6937,559135.5975
116333.0596,559173.5508
116382.6202,559210.1952
116432.0608,559246.8179
116482.3307,559284.2085
116531.3886,559320.9222
116726.6327,559481.8237
116777.4485,559523.5891
116827.642,559563.7843
116882.1221,559602.2091
116935.0804,559638.2524
116985.026,559680.0762
117377.0317,560029.8239
115177.4306,558047.4105
115529.6099,558495.2226
115579.7015,558547.7756
115621.1372,558604.9668
115672.251,558654.4091
115722.4452,558701.1228
115773.5176,558746.9951
115831.7617,558783.151
116282.3039,559134.8052
116333.6243,559172.7255
116383.1995,559209.3802
116432.6588,559246.0164
116482.9197,559283.4003
116532.009,559320.1379
116582.5374,559358.2817
116727.23,559481.0217
116778.0112,559522.7624
116828.1981,559562.9532
116882.6235,559601.3439
116935.5777,559637.3848
116985.5251,559679.2096
117377.7973,560029.1806
115178.2088,558046.7825
115530.313,558494.5115
115580.4015,558547.0614
115621.8656,558604.2816
115672.941,558653.6853
115723.1285,558700.3927
115774.164,558746.232
115832.3906,558782.3735
116233.7246,559097.5466
116282.9141,559134.013
116334.189,559171.9002
116383.7788,559208.5651
116433.2568,559245.2149
116483.5086,559282.5922
116532.6294,559319.3536
116583.1396,559357.4833
116727.8274,559480.2197
116778.5737,559521.9356
116828.7543,559562.1222
116883.1248,559600.4787
116936.075,559636.5173
116986.0243,559678.3431
117378.5629,560028.5373
115178.9871,558046.1546
115531.0161,558493.8004
115581.1014,558546.3472
115622.5941,558603.5965
115673.631,558652.9615
115723.8119,558699.6625
115774.8103,558745.469
115833.0195,558781.596
116234.3058,559096.7329
116283.5243,559133.2207
116334.7537,559171.0749
116384.3582,559207.75
116433.8547,559244.4133
116484.0976,559281.784
116533.2498,559318.5693
116583.7418,559356.6849
116679.3413,559441.0704
116728.4247,559479.4177
116779.1363,559521.109
116829.3104,559561.2911
116883.6262,559599.6134
116936.5723,559635.6497
116986.5234,559677.4766
117330.3232,559982.538
117379.3286,560027.894
115179.7654,558045.5266
115531.7192,558493.0894
115581.8014,558545.6331
115623.3225,558602.9114
115674.321,558652.2377
115724.4952,558698.9324
115775.4567,558744.7059
115833.6484,558780.8185
116234.8871,559095.9192
116284.1345,559132.4285
116335.3183,559170.2496
116384.9375,559206.9349
116434.4527,559243.6118
116484.6866,559280.9759
116533.8701,559317.7849
116584.3439,559355.8865
116679.9047,559440.2442
116729.0221,559478.6158
116779.699,559520.2822
116829.8666,559560.46
116884.1276,559598.7482
116937.0696,559634.7821
116987.0225,559676.6101
117331.052,559981.8532
117380.0942,560027.2507
115180.5436,558044.8987
115532.4223,558492.3783
115582.5013,558544.9189
115624.0509,558602.2263
115675.0111,558651.5139
115725.1785,558698.2023
115776.103,558743.9429
115834.2774,558780.041
116235.4684,559095.1055
116284.7447,559131.6363
116335.883,559169.4243
116385.5168,559206.1198
116435.0507,559242.8103
116485.2756,559280.1677
116534.4905,559317.0006
116584.9461,559355.0881
116634.5873,559392.9165
116680.4681,559439.418
116729.6195,559477.8138
116780.2615,559519.4555
116830.4227,559559.6289
116884.629,559597.883
116937.567,559633.9146
116987.5217,559675.7435
117036.3768,559717.519
117331.7808,559981.1685
117380.8598,560026.6074
115181.3219,558044.2707
115482.0682,558435.7253
115533.1254,558491.6672
115583.2013,558544.2047
115624.7794,558601.5412
115675.7011,558650.7902
115725.8619,558697.4722
115776.7494,558743.1799
115834.9063,558779.2636
116186.706,559057.4672
116236.0496,559094.2917
