Image name,0 mm,0.063 mm,0.125 mm,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm,8 mm
R1_A,0,2.0803222382646744,2.1643662181624843,2.9646444412231285,2.414006220839652,2.3797350804391688,3.4672123849748173,2.7715470081935445,8.1752965317359614,9.9388526715609888,25.518598887633893,23.560019718704691,10.200264933598213,3.9928242011437054
R1_B,0.14767027909576924,1.9801916248059759,2.2466966884059905,2.9049996503174578,2.2720910276230222,2.8985866066846824,2.9092482660532011,3.4070855019765984,9.1118473767274697,10.2435265845602,25.169750396426913,22.818866339227185,9.2249342045767087,4.2496682829635271
R1_C,0.20485264322550167,1.304658229173512,1.3183110787515302,1.960123947759904,1.5388583022622178,2.145982483579989,2.7921277040957162,3.365956122391077,8.9178838296761676,10.714751583590788,25.912348133291111,23.773864944091191,10.590130798499338,4.9598238232293133
R1_D,0.2121964780295775,1.156945974845258,1.5353372623006016,2.3432706624646129,1.7955105111920924,2.3807547243452136,2.9351358673763559,2.9880156607254196,8.843088360939328,10.474923839365069,25.523772871453883,23.902004222977823,10.613406914393261,4.7748898775736119
R1_E,0,1.2716514929067655,1.5010654539538382,1.791928810306189,2.0185021774605785,1.6106668688797883,2.7930119010899976,2.8367718641251001,7.7686698532750631,10.221743777148227,26.073773890229678,25.685186267614931,11.677653387321286,4.3617221615788262
R2_A,0.20426739757196241,1.4148239752636942,1.2493200345248887,2.6491677639213598,1.7068359291880235,2.2834916419703091,2.8094274331003142,3.2399021263444148,7.7491833659938871,9.7402555654744347,24.607695424905643,24.090573752171487,12.367868277818888,5.5274925890143827
R2_B,0.24888407591244227,1.4615717085125635,1.8410500239623062,2.3602220497894022,2.1878131900475211,2.2388490291409768,2.844255205836872,3.3372014644495884,8.8287394414139193,10.455377387339279,26.812631896161854,23.64411072899042,9.2846269444515954,4.0840646261081739
R2_C,0.073069940476144485,1.662502950006927,1.8815557101667435,2.6694279339107934,1.8207565842994871,2.4163219926518225,3.0214636369886336,3.2633498484653409,8.7326706895986703,10.974449104491137,26.884449197580214,23.367637345920972,8.8668052735845961,3.9999234848855578
R3_B,0.34307519734447367,1.0548809733320583,0.9692223096378354,1.5624349411688829,1.2544829269372264,1.3610025042054703,2.0585173379612969,2.1995956432463117,6.8207047616034124,9.1322513683041642,26.592727763803648,28.012218254566967,13.147002508433404,5.0202332606873874
R3_C,0.21316636130448699,1.5690955449975539,1.8129708993930973,2.6018271738695349,2.2529333284580173,2.3069364282721958,2.801377344044754,3.258545038385944,8.7972347694492736,9.632386122926393,23.787463943009879,23.274960164776953,11.299888412163167,5.839646595528742
R5_A,0.22425694906776189,1.3154179758496474,1.5024562369440668,1.8690427757241608,1.2706364404881665,1.607470331299035,1.9165484311553,2.1933766976634663,5.3088116749912437,6.6130877291182362,19.254797037821771,27.430661182404428,19.692301237115228,9.1950393274091944
R5_B,0.41270114573119848,1.2327617280874819,1.5253531138119678,2.1084002814303031,1.7010265717370878,1.9869978677943347,2.8221796948803828,2.868318361787956,7.9714647148067881,9.4539768650792553,24.204028439025134,24.832854449626314,12.372164919093727,5.9344861519263095
R5_C,0.34714392437372255,1.1281024205943659,1.1088268018651,1.8615695904887559,1.483933218407854,1.8400967126188839,2.1912701974105273,2.2664065788398542,7.0639843138364355,8.970850835113481,24.361463616913969,26.454888929383081,13.53427964179609,6.7733693495016993
R7_A,0,2.4530198775216645,2.1381562564138896,2.8288562740955898,2.0193615773834801,2.344711283159163,2.8552516675051782,3.0845324357600044,7.9294337410131224,9.0429282052498809,23.62742434184765,24.164938350595136,11.788331346855482,5.3295859881718641
R7_B,0.48909158770252192,2.7925846401340695,3.0690495128350643,3.5226349522783043,2.8960605292510921,2.8466709444263665,3.6682582523290472,3.4527385455390567,9.1129725880301926,10.062686751746647,23.46724792295371,20.997464558987783,8.5801790673393121,4.5710564448869073
R7_C,0.1674382240533126,2.4542017422391078,2.6863900662253593,3.7558661642586366,2.3260807605529217,2.9752346811611772,3.5544379229340963,3.3766452310501194,8.8683305130257857,10.049250141132362,23.890164106048566,21.441077829425993,9.6298486909578642,4.5068169318631357
R7_D,0.45719128785813701,3.2000408257675153,2.9587174792924404,3.665576242739041,3.0436789883547264,2.6378347603517107,3.6588555472096309,3.7565807099033997,8.6150212184468344,9.9622254427355372,23.321483723382755,20.320619096794687,9.242371068182905,4.5385772259904167
R7_E,0.57437773032450079,2.5637792270351349,3.3926960360464564,4.0473684312676408,2.7425965273980859,2.8940237665591582,3.5841946672632408,3.6436868822691615,9.1328405590840056,10.16463619238592,23.782604454244961,19.680400269652814,8.7867035628474213,4.4235922747603578
R8_A,0.17254498748533634,2.7284539376489896,3.1938421446203273,3.4483924716771641,2.416011451454299,2.9228293128615888,3.1053435683688599,3.3055855558683636,9.0062579732864521,10.48697760255339,24.47524146032173,20.436810559262053,8.9731333934248116,4.8538372285779454
R8_B,0,4.1260452923948749,3.8587698625908411,4.7544457037035075,3.0593923932850009,3.2438330427482214,3.7206240202208667,4.0744630227871754,8.9669687055676821,9.8433083988868546,22.624798028584198,18.881515021026139,8.0231404850520143,4.5536174293967697
R8_C,0.48231475422299003,2.8745943911093939,3.3037799974654405,4.4654864521329305,3.0955131282549262,2.8915316745256385,3.2717294724392438,3.4692683151514592,8.2450567129307508,9.0456694692190958,20.820308702865926,20.086656455357407,11.228382791810988,6.1967780674438302
R8_D,0,4.3179440711740105,4.0032211885930407,4.6789975146845011,3.4348321182385408,3.2500501366360295,3.8317669398573249,3.5832637835381549,9.6697026435130233,10.470304184204663,23.436352914503942,17.659659326120405,7.1766643350329931,4.1357186123767553
R8_E,0,2.9627439805695888,3.2458727703097168,4.2233136802357993,2.7984779625394518,3.1219337048569615,4.1482969166199712,3.5994529154605845,9.3831065848469262,10.707158388762124,23.937782859451815,19.54624485839642,7.8396109148356636,4.1088248922494675
R9_A,0.32164775200743206,2.1447739026525081,2.4446682486504501,3.2465368732008426,2.2228255584556371,2.7352828885610343,3.1451212174693879,3.2740261354750957,7.9069863119503436,8.9376774785412803,22.186248053415351,22.541406298099869,12.010676187994095,6.3279085109334448
R9_B,0.39521941805559968,1.5613084155485952,2.1029799237351576,2.7383553832746923,2.2056887616488821,2.1962212703618373,2.9570750891384003,2.7789698436043766,7.2042021531754941,8.0908188118478499,20.431029446583352,23.355920918397285,15.333115075633492,8.0203792231799778
R9_C,0.25793044226711331,1.5248555774337034,1.5111875908585677,2.6348511219093265,1.988827442072528,2.106493641650546,3.2266173817417463,3.2066379609540347,8.4923883135511922,10.392958340171321,24.37356794734993,22.97220737570229,11.590760508395615,5.2737311939034965
R9_D,0.3924960390313007,2.6482252368390702,2.8245741639000927,3.8853151303656102,2.9640946339619161,2.5556111663609813,3.7390818157278218,3.4073124817668496,7.9389043258113139,8.9863111478330477,21.412613369899695,21.475496126222353,11.279705960347286,5.9462229082135094
R9_E,0.52220792074186839,2.6221159207320444,2.5200701497934421,3.5648213382327247,2.68517726030381,2.7617732297492052,3.3981377167922204,3.5081904306206839,8.0404695421631054,9.3110840206973364,21.749943912648028,21.635223513621195,11.378409728990244,5.8154664598539751
R10_A,0,2.7070788113120514,3.1515914728992236,3.3844542427042947,3.2824961506259704,2.3057296244429049,3.591265959299847,3.426764735152608,8.8255325840475187,10.312836276875908,24.749298189235763,20.515086192129559,8.8230888988446328,4.46141337698851
R10_B,0,1.9962188659147051,2.4705817459435813,3.3979227149808597,2.4758019922457386,3.2062741568120257,3.0931168545034402,2.9587718509548857,8.8615807714775006,9.9307679368724351,24.661106418921729,22.001376007759909,9.9301571389232972,4.4855246095833534
R10_C,0,3.2981398623065346,3.1944383148507227,4.013621468539748,2.2975905544714066,2.9590223539732046,3.5726180760556989,4.1204338703147876,9.3161069834513111,10.861668490668176,24.980957376666098,19.574772208282226,7.8095041215149905,3.7105461996299742
R10_D,0,2.8677000408150564,2.6923710061304771,3.3810547250739997,2.5706193456223758,2.496316147129213,3.0436841788007767,3.5145317050454015,8.5609768738838152,9.5423263200243671,24.152095304522948,21.332819096254987,10.880910579396183,4.6523626715588824
R10_E,0,1.6157196995279546,1.5686049805209958,2.809477090120942,2.0649660921285737,2.1027415179292066,2.6240030384332029,3.1144280471783734,7.9474774047175787,9.852452766364193,25.582075765700804,23.547805145820075,11.998241973588865,4.8146736227263913
