Image name,0 mm,0.063 mm,0.125 mm,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm,8 mm
R9_A1.JPG; T=30,0.6600135152288409,4.37136693940077,5.767213005586368,7.601342149597704,4.976721957049922,5.696328158528475,5.711923309488742,4.98082930524129,6.637313080778802,4.2127531369153965,5.9095064436400575,9.857806196875616,14.274295412524376,19.342587389143652
R9_D2.JPG; T=30,1.8091678482015732,6.587103539551122,5.957134156718345,7.883470776243189,5.041936893735771,4.382030409558299,4.8885294868563465,3.5873166275294146,5.984900896455947,4.143279660252899,5.895809160336318,10.495322291558672,14.588134174309774,18.755864078692337
R9_D1.JPG; T=30,0.8230303128372699,6.180780296825857,5.980083584595832,7.437489083955004,5.886562273706058,4.189417148203348,5.9391396323536245,4.310945646883648,5.7769578184382775,4.1031517645724955,6.416139012373573,10.155074758773512,13.589985520434857,19.211243146046648
R9_B2.JPG; T=30,0.3290699671433387,1.633469209394404,2.1428947654354507,4.566992357943862,4.372544343192667,5.130073376465318,7.6977049686298225,7.13019674052979,12.115081814866713,5.004196990972917,6.191410378322344,10.658743444863076,14.606287574564893,18.42133406767541
R9_E3.JPG; T=30,0.6490688737554775,5.111628854355153,5.326893537234998,6.897623905868112,5.750855794534807,5.303214285535657,5.291226296890207,4.673997161454944,6.866452458649403,4.272337908984825,6.460640053987492,10.884951578863527,15.59670116258854,16.914408127296838
R9_E2.JPG; T=30,0.3559809138829748,3.3037100969987567,4.101446716084337,7.172665533240329,4.588571509283473,5.756477055983843,7.219621697410103,5.673427028272205,7.971123767260475,4.343820033529587,6.1200619711095285,10.933615010457382,15.758610036702022,16.700868629784967
R9_E1.JPG; T=30,1.6742744244601977,6.1134564501501085,5.707607822766932,8.168352751514476,5.512179195635524,4.827581720152466,5.294291570161482,4.282158915841232,5.3830955947227,3.6095880886760265,5.600312807407764,10.108281641944282,15.546083776310107,18.1727352402567
R9_B1.JPG; T=30,1.0999718173906117,3.5322676281473733,5.316237382050566,6.228622043754027,5.449672948760799,5.267650982009436,6.4575972291781705,4.986264619009152,7.334933891329161,4.3587274338902935,5.1123867671351,9.986389064635553,17.472979802945034,17.396298389764723
R9_A3.JPG; T=30,0.505617875087268,3.260715889791335,4.37327932812052,6.466399159208082,4.749413337768896,5.925559002849896,6.4748625992657765,5.226841177949552,8.382691015122635,4.911959134568503,6.232027457695593,10.568735329322292,15.68617281057474,17.235725882674902
R9_A2.JPG; T=30,0.640404057291786,4.769618908895203,4.978023958504224,6.82165720708789,4.693307046797057,5.57796935755246,5.77904926560042,5.1933929468129625,7.45732839298354,4.269109325954034,6.953970894024647,10.804400481148724,15.687923137432588,16.373845019914448
R9_C1.JPG; T=30,0.07835902165089248,0.6701811273102554,1.0302769133473206,2.652514432245789,2.7398725844139777,3.7309646692054095,7.206583082111392,8.143507775023327,16.68412790105737,6.969717030247768,7.198618684858473,10.743968287872123,16.592298506447474,15.559009984208426
R9_E4.JPG; T=30,1.098635162277798,7.378782465076765,6.448835992363803,7.258157324725777,5.454744233003547,4.716649674228543,4.447509377090537,3.763651481357817,5.6208675673447335,4.051301417938077,6.864818895233651,10.901880289525574,15.873669825701928,16.120496294131474
