0 mm,0.06300 mm,0.12500 mm,0.1800 mm,0.2500 mm,0.300 mm,0.35500 mm,0.42500 mm,0.500 mm,0.7100 mm,1 mm,2 mm,4 mm,8 mm,8
R1_A1,0,0.56006504363924836,1.082338370432725,1.2347873730228647,0.46929773805193503,0.086297346486978024,0.28503474899751213,0.34774751100976337,0.9930035158284154,0.12453975349000648,2.5515997917998279,1.26703040954114,2.1100585112294974,3.3625133803028429
R1_A2,0,0.58004392658552917,1.0761337047182291,1.1719867354261853,0.4308948186439675,0.083264756232983544,0.25903049365962122,0.31087468710354577,1.1067268708646514,0.1519233957807721,2.6678778219758073,1.7312771488683645,1.8743983567924418,3.8688363712969855
R1_A3,0,0.50339043430656072,1.3717840605103786,0.9208136222210267,0.50755985381702062,0.13701505534272077,0.23853136841443237,0.3154921010099061,1.0503283464776332,0.27591522146641045,2.740170855001363,1.2868448446016536,2.0373514922113642,3.3358501073167846
R1_B1,0,0.24959713875090092,0.46918874974986358,1.3292317182850082,1.0082296711286582,0.51464229464925992,0.18501960242216922,0.48806903645986399,1.289855534472377,0.3555815271355855,2.7399519162964352,1.5328698573699924,1.7221220776205266,3.8513883391336154
R1_B2,0,0.35630049827383009,0.31267740987523801,0.9385569070227967,1.2462395890320115,1.427713276935803,0.38686672941905237,0.53012292127431027,1.9177052838662341,0.37263068161867663,2.6026504522402911,1.6060206014604634,1.7990523475219888,3.9255002162318169
R1_B3,0,0.32485921941867035,0.41675663309321243,0.77678726785624019,0.86198655505573063,1.3429205609513755,1.4012219316475814,0.50816262840663706,2.4388289117679331,0.61171008983419639,2.655879844323294,1.6630257952978857,1.848809592569354,3.8665889446080173
R1_C1,0,0.64601569376445134,0.76150407654274155,1.2642626600687126,0.93823886199972339,0.49937709692495719,0.41539297380263951,0.47731887769722897,1.2762229804572205,0.49755480181058359,2.8379044850732074,1.477664776159654,1.7320557688042588,3.9710465162175068
R1_C2,0,0.38057502060637699,1.0055417831311571,1.1947582541344937,0.57860237920363677,0.17811060096890741,0.4326963992099771,0.4112369814911902,1.1075576994033483,0.46277509439070103,2.9836785710494693,1.6149852216968528,1.8699007984440756,4.1153690842781643
R1_C3,0,0.46696109020199406,0.49467160298624241,1.2839940067147566,0.92775144609980709,0.67183920363184957,0.2366460786167825,0.33810500947449612,1.1706290572269749,0.3324226564797842,2.7538158144982936,1.4654438670568042,1.7538110309195498,3.9026038976014887
R1_D1,0,0.2125497361983795,0.75022051988374294,1.5339262347714093,0.63278792514093041,0.37586037220624235,0.2979020990583795,0.55794491598225759,1.3518878390680562,0.57604937635596221,2.7824176237882368,1.4028955708211397,1.7627876781927134,3.9862099660218604
