Image name,0 mm,0.063 mm,0.125 mm,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm,8 mm
R1_D2.jpg; T=270,0.6879608358911603,2.8029470907765646,3.936147365261315,6.497415839000626,5.374307772507525,5.402273443315987,6.606744863112324,5.333576657528055,7.882175059409846,4.617098843833702,20.891600394488922,19.511458894275034,9.369161640353157,1.087131300245804
R1_C1.jpg; T=270,0.8909937842148623,4.735539744229957,5.9952365482579735,6.509336047776675,4.8424216936823985,4.509803933327309,6.440585720904296,3.9471042795054614,6.919622631035918,4.408724095311927,21.228879189340887,19.967342498982926,8.556766747305037,1.047643086124366
R1_B3.jpg; T=270,0.3895658363750688,2.3596899214826577,2.7472979825215367,6.299179512515043,4.621928653800069,5.0370625218541205,6.6467731071851945,7.112935707570688,9.165474454925922,4.958716861215661,19.901296408747328,20.747421807361995,9.17456697940979,0.8380902450349106
R1_B2.jpg; T=270,0.6836973404947471,3.79881241759844,3.875241745506512,6.187291225494717,4.993517241989336,6.582110459356536,5.954895906179466,4.723985009603054,8.112778232805857,4.4328009701615,19.66916055662177,20.709043997500263,9.419345431395833,0.8573194652919675
R1_C3.jpg; T=270,0.9907321444710152,5.096665023338759,4.50537673667679,6.377156673418582,4.7132253623514195,5.87917875294516,5.1332418468846335,4.067053580644955,7.603938142340898,4.864126909412755,20.514514072431684,20.165304220447634,8.914704070053524,1.1747824645821934
R1_C2.jpg; T=270,1.134269612192412,5.806300604916184,6.670367475535498,6.750358754191453,4.7540513752581015,4.248064572814822,5.842560106317598,3.5142317128481,6.326177759786457,4.234271392413001,20.472313801134472,20.22161210473229,8.937404039528799,1.0880166883308149
R1_E2.jpg; T=270,0.2232598384439201,1.309672273815904,2.1620254406996726,3.4327646255528617,3.607124160526692,4.4342603646505685,8.397592206983946,6.6157045538782295,13.177179183705,5.702332571673401,19.382642592608413,20.29458416156201,10.179172711876463,1.0816853140229157
R1_A3.jpg; T=270,1.4149774670055648,5.054197928992241,7.218478253859867,5.2057195551225135,4.811671183534834,4.323546062868662,4.872246087075448,3.804847885606909,6.903762047054952,5.2803740474309535,20.39167962574404,20.836006190367893,8.951386484962901,0.931107180373231
R1_E1.jpg; T=270,0.2323094901730365,1.3710551130340063,1.7563006324580552,3.704795204399925,3.8562704181298564,4.685841097003187,8.735952228405107,6.754049887149928,12.223227319175544,5.978261918544731,18.864215874300143,21.114056826896427,9.629792627276574,1.0938713630534798
R1_D1.jpg; T=270,1.2019934902739768,4.4429592043334365,5.4395510316289615,7.738156229261625,3.7837006234142,5.217066344450432,5.883663376221705,4.500518007259468,6.772200509579619,4.3418049714023725,20.674294013034668,20.007289878353525,9.243356366313446,0.7534459544725521
R1_B1.jpg; T=270,0.99212157011721,3.8997626781606622,5.011217326178135,7.360183067312522,5.498792433674847,5.111779658822168,5.79770149947902,4.380925932822796,6.9927152915133695,4.20638668290988,20.804372129314725,19.606858328645114,9.447044202212114,0.890139198837428
R1_A2.jpg; T=270,0.0,6.1367630468286745,9.143482792504344,10.647264092140038,6.421503863554928,4.997838710053063,4.804690571261644,3.326086586582121,6.5452340696928335,1.8047543421505712,26.01802539502605,16.139789691452815,4.014566838752931,0.0
R1_A1.jpg; T=270,0.0,3.7601089448241374,6.013259002335308,7.717164025981362,5.2962022776914095,4.7166498055639074,5.2611602002583915,4.0928970056371,6.77468770718066,5.6324978693422585,19.403894648223744,20.719446091753728,9.961180285129407,0.650852136078582
