Image name,0 mm,0.063 mm,0.125 mm,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm,8 mm
Angle_39,0.0,3.3978801896749693,5.909749099749267,8.386369012817248,6.038441916686727,3.6415101071102027,6.107399827935652,4.64000637469681,6.936351803466172,4.763854695057034,9.734146276873886,12.332681193938138,14.65699516056936,13.454614341424529
Angle_47,0.0,3.3449315398458768,5.811522754366879,8.251821991705315,5.977540022155738,3.615349285458898,6.081990107480882,4.666136573280627,7.151153175099196,4.837103176455715,9.504468142012518,12.310421275193587,15.023349812420927,13.42421214452384
Angle_23,0.0,3.6116676671863233,6.140307964458928,8.498445691912481,5.9947136466653275,3.5399042450237994,5.828554806207255,4.4106855836714525,6.768675926516223,4.877912746669868,10.756664612255056,13.597087648529268,14.206300629811738,11.769078831092287
Angle_31,0.0,3.6959954691743397,6.217363932528759,8.496548239549872,5.9420764565938935,3.5011109078580125,5.763352964945773,4.355620348335576,6.77765269257035,4.962141103158007,10.511722170454632,13.065409235494958,14.18437787249717,12.526628606838678
Angle_55,0.0,3.249781863145739,5.7065467516380775,8.130438810917655,5.938233427834438,3.6369091749331113,6.1718379201448474,4.743160026338957,7.23186765683934,4.892859294779519,8.770849972848772,12.276618413383124,15.619437570047236,13.631459117149177
Angle_87,0.0,2.7083320159147632,5.139755564117193,7.829420655595546,6.089901087829093,3.897761606297792,6.832776116072009,5.294166998227468,7.62683541412583,4.7393979809887385,7.763732149700211,12.194113169520746,15.019047933611706,14.864759307998893
Angle_95,0.0,3.0346944991937614,5.523070351936221,8.097312126512838,6.050077633352215,3.7529057058668895,6.426286367875676,4.953127479616502,7.367507901144313,4.910364751545941,8.367473938558051,12.646326678644185,14.198818062783944,14.672034502969467
Angle_15,0.0,3.608844448625976,6.134388325232782,8.534254754791473,5.996534364511378,3.5163963402701004,5.750123009794719,4.341170508198672,6.7858076341511975,4.9923050593430665,10.533053712000603,11.983564600056994,14.264550917285685,13.559006325737345
Angle_63,0.0,3.1304115253530105,5.616859433582135,8.09823013295662,5.9710853270443724,3.6906641725102727,6.3363423152436695,4.8818166536871175,7.288396938670082,4.854626952272515,8.728562639772438,12.562682519773615,14.282535016857006,14.557786372277155
Angle_79,0.0,2.9568403662807228,5.400091011511172,7.994513441531949,6.058455972239624,3.7824489226216262,6.524620073885357,5.052085592374175,7.500819211297108,4.934916492586972,8.261516306983877,11.722863693838253,14.42924462971316,15.381584285136
Angle_7,0.0,3.6198412095437402,6.1751953832600375,8.583064314483737,6.0373608165230825,3.548512273441077,5.79707968706366,4.346096284494286,6.705577089779912,4.849646251098324,11.572939824594245,13.537642374559224,13.929182216218093,11.297862274940579
Angle_38,0.0,3.3780285823454834,5.883598767263107,8.335232280045561,6.029768002673911,3.646709808557949,6.101829305658548,4.631178049331301,6.979628839733023,4.7794667520854155,9.853532605028272,12.552224490272124,14.154044396730232,13.67475812027508
Angle_46,0.0,3.3516570474020613,5.860432826634375,8.247353385620423,5.969788934344815,3.6367670940087997,6.13164560860856,4.6715434686841295,7.1065694558023305,4.79742408407398,9.019979691945023,12.731163184019382,14.880364841896345,13.595310376959784
Angle_30,0.0,3.4768924377638184,5.998662939499153,8.418120702495896,6.010390180138647,3.5857580395887623,5.951439664908003,4.506574201601576,6.89477389830036,4.8350562168114815,9.671750605444217,13.543278200108974,14.617365943507245,12.48993696983188
Angle_54,0.0,3.2895177121605665,5.75945861601824,8.182917086758799,5.969266627249103,3.652374804790133,6.190627460600232,4.733826877085456,7.1000022918688765,4.83166443141436,8.924484717564587,11.99300187070965,15.240702733005195,14.132154770774813
Angle_22,0.0,3.6174954010261313,6.154186213764928,8.516410473051819,6.010722826749038,3.555775934392948,5.816550133061558,4.375893952742293,6.76360601865834,4.8732008632836035,10.782561217852557,13.884416130889845,13.989605853994323,11.659574980532627
Angle_14,0.0,3.491395083183417,6.0289800038915535,8.531213402592938,6.055884817152268,3.5762839366057446,5.882561790422652,4.443046959921075,6.810587237090872,4.846506628782884,10.277388098201762,12.867124907764573,14.470325053520975,12.718702080869276
Angle_94,0.0,3.0020508550635587,5.4375635086255585,7.918808823528018,5.934993320468526,3.7167677528775287,6.431252197992034,4.992581018490483,7.570689789179406,5.049972726298554,8.346700651074274,11.921692051104474,14.503938153043244,15.172989152254345
Angle_86,0.0,3.007102886400649,5.474109307685084,7.995932463716298,6.020034920741045,3.76353725186315,6.473754297054588,5.006443568292443,7.547290771010668,4.915951186071972,8.22367752177773,12.262210126690409,14.491334606558958,14.818621092137015
Angle_62,0.0,3.2693750857237838,5.734238325419352,8.183378745657858,5.973586983232777,3.6644936044269283,6.219060584473738,4.748381564611015,7.101852169092373,4.97601214362038,9.80182406186094,12.283670098791234,14.501832412715352,13.542294220374265
Angle_78,0.0,2.9013840481596858,5.345973993351202,7.996766916188682,6.075755128179005,3.826791932921717,6.610538154567645,5.082208812637594,7.505189889051508,4.863131082396379,8.449282302272803,12.152532639511886,14.421684947475555,14.768760153286333
Angle_70,0.0,3.0350179235042867,5.508704804048182,8.050830328557176,6.031092931678575,3.7350183724158836,6.400521418905615,4.9331440629807615,7.349162337961407,4.910318844893352,8.866945411717186,11.895932469233744,14.849191592146902,14.434119501956928
Angle_6,0.0,3.6563756825206113,6.197946769477836,8.551345955684113,5.988795449642434,3.5109614541161736,5.7572740156761695,4.351321012393689,6.7133060726214735,4.90109349825564,11.803455924243979,13.316527118013385,14.152056307518206,11.099540739836293
Angle_37,0.0,3.468256296045789,5.957447222099932,8.354154006744944,5.966328575107673,3.5785054636995035,5.987706644200992,4.547503351180256,6.975905514647643,4.900971561548352,10.199964324652708,12.476045206637266,14.491271747460384,13.095940085974568
