Point ID,GNSS Position Solution.Start Time,Easting,Northing,Elevation,GNSS Position Solution.Antenna Height
L1,,117318.000,560100.002,1.000,
L2,,117136.001,559892.002,1.000,
L3,,116786.001,559616.002,1.000,
L4,,116441.001,559328.002,1.000,
L5,,115998.001,559013.002,1.000,
L6,,115605.001,558656.002,1.000,
L7,,115310.001,558287.002,1.000,
R01A,,117412.000,560086.002,1.000,
R01A1,26-10-2022 16:40:31,117409.381,560087.034,0.980,2.000
R01A2,26-10-2022 16:43:27,117419.109,560080.960,0.731,2.000
R01A3,26-10-2022 16:44:58,117424.357,560077.728,0.486,2.000
R01A4,26-10-2022 16:46:11,117427.312,560075.964,0.235,2.000
R01A5,26-10-2022 16:47:46,117429.800,560074.458,-0.021,2.000
R02A,,117265.000,559903.002,1.000,
R02A1,26-10-2022 16:53:47,117261.811,559906.751,0.987,2.000
R02A2,26-10-2022 16:56:42,117268.333,559898.967,0.734,2.000
R02A3,26-10-2022 16:58:13,117273.359,559892.730,0.482,2.000
R02A4,26-10-2022 16:59:43,117275.149,559890.509,0.238,2.000
R02A5,26-10-2022 17:01:28,117276.787,559888.839,-0.018,2.000
R03A,,117034.001,559702.002,1.000,
R03A1,26-10-2022 17:08:34,117032.068,559705.862,0.986,2.000
R03A2,26-10-2022 17:10:50,117037.858,559697.183,0.738,2.000
R03A3,26-10-2022 17:12:25,117042.572,559690.196,0.485,2.000
R03A4,26-10-2022 17:14:08,117043.922,559687.688,0.231,2.000
R04A,,116781.001,559525.002,1.000,
R05A,,116567.001,559330.002,1.000,
R05A1,26-10-2022 17:24:55,116557.854,559333.503,0.978,2.000
R05A2,26-10-2022 17:27:43,116561.411,559328.152,0.728,2.000
R05A3,26-10-2022 17:29:13,116565.261,559322.001,0.477,2.000
R05A4,26-10-2022 17:30:32,116566.903,559319.602,0.227,2.000
R06A,,116307.001,559143.002,1.000,
R07A,,116073.001,558952.002,1.000,
R07A1,26-10-2022 15:27:57,116071.970,558960.603,0.980,2.000
R07A2,26-10-2022 15:29:08,116076.004,558955.954,0.727,2.000
R07A3,26-10-2022 15:29:55,116079.241,558952.024,0.499,2.000
R07A4,26-10-2022 15:32:33,116081.563,558948.737,0.214,2.000
R07A5,26-10-2022 15:33:20,116083.360,558946.919,-0.023,2.000
R08A,,115817.001,558778.002,1.000,
R08A1,26-10-2022 15:14:46,115824.012,558770.808,0.968,2.000
R08A2,26-10-2022 15:15:42,115829.112,558765.567,0.717,2.000
R08A3,26-10-2022 15:16:30,115830.656,558763.547,0.500,2.000
R08A4,26-10-2022 15:17:32,115832.617,558761.077,0.225,2.000
R08A5,26-10-2022 15:18:14,115833.942,558759.114,-0.007,2.000
R09A,,115526.001,558482.002,1.000,
R09A1,26-10-2022 14:49:18,115526.010,558481.620,0.974,2.000
R09A2,26-10-2022 14:52:20,115528.398,558480.347,0.749,2.000
R09A3,26-10-2022 14:53:33,115530.174,558479.247,0.488,2.000
R09A4,26-10-2022 14:54:32,115531.973,558478.192,0.235,2.000
R09A5,26-10-2022 14:55:19,115533.718,558477.223,-0.024,2.000
R09A6,26-10-2022 14:56:41,115535.520,558476.228,-0.279,2.000
R10A,,115307.001,558201.002,1.000,
R10A1,26-10-2022 14:18:53,115306.900,558201.731,0.986,2.000
R10A2,26-10-2022 14:21:57,115308.990,558200.581,0.724,2.000
R10A3,26-10-2022 14:23:58,115310.584,558199.581,0.492,2.000
R10A4,26-10-2022 14:25:01,115312.381,558198.385,0.227,2.000
R10A5,26-10-2022 14:25:46,115314.275,558197.360,-0.021,2.000
R10A6,26-10-2022 14:28:31,115343.973,558177.428,-0.512,2.000
