Point ID,Date,Time,Easting ,Northing,Elevation,Accuracy (?),Accuracy (?)
TR0600001    ,26/10/2022,13:38:33,115322.94899999999,558287.56799999997,3.3809999999999998,0.01,0.01
TR0600002    ,26/10/2022,13:38:34,115323.21400000001,558287.38800000004,3.3860000000000001,0.01,0.01
TR0600003    ,26/10/2022,13:38:35,115323.876,558286.70499999996,3.1339999999999999,0.01,0.01
TR0600004    ,26/10/2022,13:38:36,115324.878,558285.86499999999,2.96,0.01,0.02
TR0600005    ,26/10/2022,13:38:37,115325.75900000001,558285.10499999998,2.895,0.01,0.02
TR0600006    ,26/10/2022,13:38:38,115326.624,558284.36399999994,2.7759999999999998,0.01,0.01
TR0600007    ,26/10/2022,13:38:39,115327.64999999999,558283.51899999997,2.6800000000000002,0.01,0.01
TR0600008    ,26/10/2022,13:38:40,115328.71400000001,558282.64300000004,2.6309999999999998,0.01,0.01
TR0600009    ,26/10/2022,13:38:41,115329.791,558281.76800000004,2.544,0.01,0.01
TR0600010    ,26/10/2022,13:38:41,115330.879,558280.79700000002,2.4630000000000001,0.01,0.01
TR0600011    ,26/10/2022,13:38:43,115331.864,558280.00899999996,2.4089999999999998,0.01,0.01
TR0600012    ,26/10/2022,13:38:44,115332.823,558279.12,2.407,0.01,0.01
TR0600013    ,26/10/2022,13:38:44,115333.91,558278.34499999997,2.2949999999999999,0.01,0.01
TR0600014    ,26/10/2022,13:38:46,115334.88400000001,558277.51399999997,2.21,0.01,0.01
TR0600015    ,26/10/2022,13:38:47,115335.878,558276.67099999997,2.1280000000000001,0.01,0.01
TR0600016    ,26/10/2022,13:38:47,115336.909,558275.76500000001,2.0950000000000002,0.01,0.01
TR0600017    ,26/10/2022,13:38:49,115338.03999999999,558274.92500000005,1.994,0.01,0.01
TR0600018    ,26/10/2022,13:38:50,115339.16899999999,558274.08799999999,1.925,0.01,0.01
TR0600019    ,26/10/2022,13:38:51,115340.15399999999,558273.31499999994,1.871,0.01,0.01
TR0600020    ,26/10/2022,13:38:52,115341.30100000001,558272.56700000004,1.867,0.01,0.01
TR0600021    ,26/10/2022,13:38:53,115342.337,558271.90099999995,1.8560000000000001,0.01,0.02
TR0600022    ,26/10/2022,13:38:54,115343.375,558271.13500000001,1.835,0.01,0.01
TR0600023    ,26/10/2022,13:38:55,115344.31,558270.321,1.796,0.01,0.01
TR0600024    ,26/10/2022,13:38:56,115345.315,558269.43200000003,1.8129999999999999,0.01,0.01
TR0600025    ,26/10/2022,13:38:57,115346.451,558268.62199999997,1.7949999999999999,0.01,0.01
TR0600026    ,26/10/2022,13:38:58,115347.505,558267.85100000002,1.7290000000000001,0.01,0.01
TR0600027    ,26/10/2022,13:38:59,115348.488,558267.08299999998,1.627,0.01,0.01
TR0600028    ,26/10/2022,13:38:60,115349.481,558266.30900000001,1.526,0.01,0.01
TR0600029    ,26/10/2022,13:39:01,115350.507,558265.53700000001,1.4470000000000001,0.01,0.01
TR0600030    ,26/10/2022,13:39:02,115351.43700000001,558264.76899999997,1.3069999999999999,0.01,0.01
TR0600031    ,26/10/2022,13:39:03,115352.49800000001,558264.02399999998,1.169,0.01,0.01
TR0600032    ,26/10/2022,13:39:03,115353.458,558263.23899999994,1.1180000000000001,0.01,0.01
TR0600033    ,26/10/2022,13:39:05,115354.416,558262.54500000004,1.0409999999999999,0.01,0.01
TR0600034    ,26/10/2022,13:39:06,115355.361,558261.81700000004,0.93200000000000005,0.01,0.01
TR0600035    ,26/10/2022,13:39:06,115356.269,558260.95299999998,0.79200000000000004,0.01,0.01
TR0600036    ,26/10/2022,13:39:08,115357.395,558260.103,0.627,0.01,0.01
TR0600037    ,26/10/2022,13:39:09,115358.424,558259.28399999999,0.45800000000000002,0.01,0.01
TR0600038    ,26/10/2022,13:39:10,115359.44500000001,558258.47100000002,0.29499999999999998,0.01,0.01
TR0600039    ,26/10/2022,13:39:11,115360.467,558257.63500000001,0.11799999999999999,0.01,0.01
TR0600040    ,26/10/2022,13:39:12,115361.516,558256.83400000003,-0.037999999999999999,0.01,0.01
TR0600041    ,26/10/2022,13:39:13,115362.499,558255.95799999998,-0.19,0.01,0.01
TR0600042    ,26/10/2022,13:39:14,115363.518,558255.11399999994,-0.35699999999999998,0.01,0.01
TR0600043    ,26/10/2022,13:39:15,115364.67,558254.36899999995,-0.373,0.01,0.01
TR0600044    ,26/10/2022,13:39:16,115365.764,558253.55700000003,-0.33700000000000002,0.01,0.01
TR0600045    ,26/10/2022,13:39:17,115366.852,558252.79099999997,-0.32600000000000001,0.01,0.01
TR0600046    ,26/10/2022,13:39:19,115369.103,558251.26899999997,-0.35499999999999998,0.01,0.01
TR0600047    ,26/10/2022,13:39:20,115370.27800000001,558250.33200000005,-0.378,0.01,0.01
TR0600048    ,26/10/2022,13:39:21,115371.469,558249.57299999997,-0.40699999999999997,0.01,0.01
TR0600049    ,26/10/2022,13:39:22,115372.63,558248.72199999995,-0.42599999999999999,0.01,0.01
TR0600050    ,26/10/2022,13:39:22,115373.781,558247.84100000001,-0.443,0.01,0.01
TR0600051    ,26/10/2022,13:39:24,115374.95699999999,558247.05000000005,-0.46800000000000003,0.01,0.01
TR0600052    ,26/10/2022,13:39:25,115376.058,558246.25699999998,-0.47499999999999998,0.01,0.01
TR0600053    ,26/10/2022,13:39:25,115377.174,558245.51599999995,-0.50700000000000001,0.01,0.01
TR0600054    ,26/10/2022,13:39:27,115378.19899999999,558244.75699999998,-0.51900000000000002,0.01,0.01
TR0600055    ,26/10/2022,13:39:28,115379.31299999999,558244.04599999997,-0.52700000000000002,0.01,0.01
TR0600056    ,26/10/2022,13:39:28,115380.41800000001,558243.25100000005,-0.53900000000000003,0.01,0.01
TR0600057    ,26/10/2022,13:39:30,115381.527,558242.47600000002,-0.54800000000000004,0.01,0.01
TR0600058    ,26/10/2022,13:39:31,115382.586,558241.66500000004,-0.54800000000000004,0.01,0.01
TR0600059    ,26/10/2022,13:39:32,115383.69899999999,558240.84900000005,-0.55500000000000005,0.01,0.01
TR0600060    ,26/10/2022,13:39:33,115384.735,558240.02300000004,-0.57199999999999995,0.01,0.01
TR0600061    ,26/10/2022,13:39:34,115385.871,558239.24699999997,-0.58299999999999996,0.01,0.01
TR0600062    ,26/10/2022,13:39:35,115387.02899999999,558238.40399999998,-0.57599999999999996,0.01,0.01
TR0600063    ,26/10/2022,13:39:36,115388.148,558237.61800000002,-0.58799999999999997,0.01,0.02
TR0600064    ,26/10/2022,13:39:37,115389.24800000001,558236.82900000003,-0.59599999999999997,0.01,0.01
